ward_code,ward_num,ward_id,pop_male,pop_female,pop_total,source
79900001,1,TSH_1,12482,12868,25350,census_2011
79900002,2,TSH_2,9881,10926,20808,census_2011
79900003,3,TSH_3,16669,17445,34115,census_2011
79900004,4,TSH_4,17832,19755,37587,census_2011
79900005,5,TSH_5,13193,14244,27437,census_2011
79900006,6,TSH_6,8595,8579,17174,census_2011
79900007,7,TSH_7,20892,21954,42846,census_2011
79900008,8,TSH_8,14471,15382,29853,census_2011
79900009,9,TSH_9,19167,18311,37478,census_2011
79900010,10,TSH_10,21944,18024,39968,census_2011
79900011,11,TSH_11,11698,12541,24239,census_2011
79900012,12,TSH_12,11141,10607,21748,census_2011
79900013,13,TSH_13,13173,13974,27147,census_2011
79900014,14,TSH_14,13336,13700,27036,census_2011
79900015,15,TSH_15,9293,10218,19511,census_2011
79900016,16,TSH_16,10384,10699,21083,census_2011
79900017,17,TSH_17,20526,20244,40771,census_2011
79900018,18,TSH_18,11881,12697,24578,census_2011
79900019,19,TSH_19,15833,14639,30473,census_2011
79900020,20,TSH_20,13159,13954,27113,census_2011
79900021,21,TSH_21,14152,15716,29868,census_2011
79900022,22,TSH_22,16313,17284,33597,census_2011
79900023,23,TSH_23,10651,10818,21469,census_2011
79900024,24,TSH_24,23748,23989,47737,census_2011
79900025,25,TSH_25,12685,12926,25610,census_2011
79900026,26,TSH_26,12761,13235,25996,census_2011
79900027,27,TSH_27,14086,14233,28319,census_2011
79900028,28,TSH_28,8917,8939,17856,census_2011
79900029,29,TSH_29,14090,14579,28669,census_2011
79900030,30,TSH_30,18312,19457,37769,census_2011
79900031,31,TSH_31,11720,12614,24334,census_2011
79900032,32,TSH_32,14910,15976,30886,census_2011
79900033,33,TSH_33,8092,8902,16993,census_2011
79900034,34,TSH_34,10578,11572,22149,census_2011
79900035,35,TSH_35,8875,8966,17841,census_2011
79900036,36,TSH_36,11010,11651,22661,census_2011
79900037,37,TSH_37,22412,21225,43637,census_2011
79900038,38,TSH_38,6908,2454,9362,census_2011
79900039,39,TSH_39,15615,15544,31159,census_2011
79900040,40,TSH_40,32919,29322,62241,census_2011
79900041,41,TSH_41,8706,9710,18416,census_2011
79900042,42,TSH_42,9737,10657,20394,census_2011
79900043,43,TSH_43,12729,13428,26157,census_2011
79900044,44,TSH_44,8168,9926,18094,census_2011
79900045,45,TSH_45,5185,5937,11122,census_2011
79900046,46,TSH_46,9706,10996,20701,census_2011
79900047,47,TSH_47,7865,8543,16408,census_2011
79900048,48,TSH_48,19153,16744,35897,census_2011
79900049,49,TSH_49,17762,17664,35425,census_2011
79900050,50,TSH_50,9960,10888,20848,census_2011
79900051,51,TSH_51,12851,12825,25676,census_2011
79900052,52,TSH_52,10133,11112,21245,census_2011
79900053,53,TSH_53,11273,12604,23877,census_2011
79900054,54,TSH_54,9755,11076,20831,census_2011
79900055,55,TSH_55,12659,13163,25822,census_2011
79900056,56,TSH_56,8699,10681,19381,census_2011
79900057,57,TSH_57,13056,15076,28132,census_2011
79900058,58,TSH_58,15990,17672,33661,census_2011
79900059,59,TSH_59,11921,11807,23728,census_2011
79900060,60,TSH_60,18306,14375,32680,census_2011
79900061,61,TSH_61,23352,19405,42757,census_2011
79900062,62,TSH_62,9739,10540,20279,census_2011
79900063,63,TSH_63,9617,7446,17063,census_2011
79900064,64,TSH_64,17048,18169,35217,census_2011
79900065,65,TSH_65,10150,11247,21397,census_2011
79900066,66,TSH_66,11837,11648,23485,census_2011
79900067,67,TSH_67,11003,9639,20642,census_2011
79900068,68,TSH_68,14198,15003,29202,census_2011
79900069,69,TSH_69,11837,12794,24630,census_2011
79900070,70,TSH_70,14875,16333,31207,census_2011
79900071,71,TSH_71,16585,14214,30799,census_2011
79900072,72,TSH_72,11319,10827,22146,census_2011
79900073,73,TSH_73,19740,19876,39616,census_2011
79900074,74,TSH_74,11578,12543,24121,census_2011
