SAL_CODE,SP_NAME,MP_NAME,ward_id
7990001,Koedoespoort Industrial,Pretoria,TSH_84
7990002,Ga-Rankuwa Unit 25,Ga-Rankuwa,TSH_30
7990003,Doornkloof SH,Centurion,TSH_65
7990004,Donkerhoek SH,Donkerhoek,TSH_100
7990005,Mabopane SP,Mabopane,TSH_22
7990006,Centurion SP3,Centurion,TSH_48
7990007,Scientia,Pretoria,TSH_46
7990008,Silvertondale,Pretoria,TSH_41
7990009,Wildebeesthoek SH,Pretoria,TSH_31
7990010,Eldoraigne Ext 48,Centurion,TSH_66
7990011,Bon Accord AH,Pretoria,TSH_50
7990012,Soshanguve East Ext 4,Soshanguve,TSH_36
7990013,Jan Niemand Park,Pretoria,TSH_43
7990014,Roodepoort SH,Roodepoort,TSH_105
7990015,Erasmus Park,Pretoria,TSH_42
7990016,Centurion SP1,Centurion,TSH_77
7990017,Cheetah Park SP,Cheetah Park,TSH_7
7990018,Ga-Rankuwa Unit 15,Ga-Rankuwa,TSH_30
7990019,Magaliesberg Protected Natural Environment,Pretoria,TSH_2
7990020,Ekangala SP,Ekangala,TSH_103
7990021,Mabopane M,Mabopane,TSH_22
7990022,Heather View,Akasia,TSH_98
7990023,Viljoenskop,Bronkhorstspruit,TSH_105
7990024,Bronkhorstspruit Dam Nature Reserve,Bronkhorstspruit,TSH_105
7990025,Groenkloof Pine Plantation,Pretoria,TSH_59
7990026,Sunderland Ridge,Centurion,TSH_70
7990027,The Ridge,Pretoria,TSH_101
7990028,Despatch,Pretoria,TSH_43
7990029,Roodeplaat Dam Nature Reserve,Roodeplaat,TSH_87
7990030,Shere SH,Pretoria,TSH_101
7990031,Laudium SP,Laudium,TSH_61
7990032,Nellmapius SP,Nellmapius,TSH_86
7990033,Ga-Rankuwa Unit 24,Ga-Rankuwa,TSH_30
7990034,Babelegi Industrial,Babelegi,TSH_75
7990035,Ga-Rankuwa Industrial,Ga-Rankuwa,TSH_30
7990036,Van Riebeeck Nature Reserve,Pretoria,TSH_91
7990037,Mamelodi KC4,Mamelodi,TSH_67
7990038,Tweefontein AH,Tweedracht,TSH_105
7990039,Klipfontein,Soshanguve,TSH_37
7990040,Louwlardia,Centurion,TSH_65
7990041,Highveld Techno Park,Centurion,TSH_65
7990042,Ekandustria,Ekangala,TSH_103
7990043,Waltloo,Pretoria,TSH_41
7990044,Technikon Rant,Pretoria,TSH_58
7990045,Ga-Rankuwa SP,Ga-Rankuwa,TSH_32
7990046,Montana AH,Pretoria,TSH_5
7990047,Silverton,Pretoria,TSH_41
7990048,Zwavelpoort AH,Zwavelpoort,TSH_101
7990049,Thaba Tshwane,Pretoria,TSH_59
7990050,Keinfontein SH,Keinfontein,TSH_102
7990051,Montana,Pretoria,TSH_5
7990052,Mamelodi Ext 14,Mamelodi,TSH_15
7990053,Arcadia,Pretoria,TSH_92
7990054,Lombardy Estate,Pretoria,TSH_101
7990055,Bosplaas Mathabe SP,Bosplaas Mathabe,TSH_76
7990056,Montana,Pretoria,TSH_96
7990057,Onderstepoort Nature Reserve,Akasia,TSH_96
7990058,Ga-Rankuwa Unit 20,Ga-Rankuwa,TSH_30
7990059,Blair Atholl Golf Estate,Centurion,TSH_48
7990060,Pretoria SP,Pretoria,TSH_7
7990061,Andeon AH,Pretoria,TSH_55
7990062,Montana,Pretoria,TSH_5
7990063,Annlin,Pretoria,TSH_2
7990064,Donkerhoek SH,Donkerhoek,TSH_102
7990065,Tshwane NU,Tshwane NU,TSH_91
7990066,Irene Research Institute,Centurion,TSH_65
7990067,Onderstepoort Nature Reserve,Akasia,TSH_96
7990068,Botshabelo,Mabopane,TSH_22
7990069,Tshwane NU,Tshwane NU,TSH_73
7990070,Premier Diamond Mine,Cullinan,TSH_99
7990071,Monrick AH,Centurion,TSH_66
7990072,Montana Tuine,Pretoria,TSH_96
7990073,Bashewa SH,Bashewa,TSH_102
7990074,Mabopane N,Mabopane,TSH_29
7990075,Pretoria West,Pretoria,TSH_51
7990076,Hornsoord AH,Pretoria,TSH_55
7990077,Gerardsville AH,Centurion,TSH_61
7990078,Moretele Park,Mamelodi,TSH_23
7990079,Lewzene Estate,Cullinan,TSH_100
7990080,"Olievenhoutbos Ext 4, 19, 22",Olievenhoutbos,TSH_77
7990081,Wageenbietjieskop SH,Wageenbietjieskop,TSH_105
7990082,Gardener Ross Golf and Country Estate,Centurion,TSH_48
7990083,Kameelfontein SH,Kameelfontein,TSH_87
7990084,Bashewa SH,Bashewa,TSH_102
7990085,Thaba Tshwane,Pretoria,TSH_59
7990086,Bultfontein AH,Bultfontein,TSH_49
7990087,Partyshoek AH,Pretoria,TSH_31
7990088,Rosslyn Industrial,Akasia,TSH_37
7990089,Tsebe SP,Tsebe,TSH_22
7990090,Kameeldrift SH,Kameeldrift,TSH_87
7990091,Centurion SP3,Centurion,TSH_61
7990092,Snake Valley,Centurion,TSH_59
7990093,Downbern SH,Downbern,TSH_99
7990094,Arcadia,Pretoria,TSH_58
7990095,Mamelodi Ext 22,Mamelodi,TSH_10
