shap_area_km2,shap_failure_count_this_month,shap_failure_occurred_this_month,shap_cumulative_failures_to_date,shap_months_since_last_failure,shap_is_known_chokepoint,shap_calendar_month,shap_is_dry_season,shap_nrw_pct,shap_wss_bdrr,shap_pop_density,ward_id,month,risk_score,actual_failure_within_3mo,area_km2,failure_count_this_month,failure_occurred_this_month,cumulative_failures_to_date,months_since_last_failure,is_known_chokepoint,calendar_month,is_dry_season,nrw_pct,wss_bdrr,pop_density
-1.1187205,-0.0009103065,-9.928354e-05,-0.10037766,-0.29308856,-0.27799168,-0.6289554,-0.011716876,0.0,-0.8271642,-1.7793741,TSH_1,2024-12,1.09,0,15.09431174085445,0,0,0,999,0,12,0,33.0,31.9,1679.440602209598
-1.1464245,-0.0060480274,-9.928354e-05,-0.09771694,-0.29146594,-0.2961911,-0.8183529,-0.01662961,0.0,-0.8498752,-1.6438451,TSH_1,2025-01,0.96,0,15.09431174085445,0,0,0,999,0,1,0,33.0,31.9,1679.440602209598
-1.1588017,-0.0060480274,-9.928354e-05,-0.09761585,-0.29136485,-0.2908002,-0.7470569,-0.01662961,0.0,-0.84880424,-1.6361889,TSH_1,2025-02,1.04,0,15.09431174085445,0,0,0,999,0,2,0,33.0,31.9,1679.440602209598
-1.1542251,-0.0060480274,-9.928354e-05,-0.09761585,-0.282568,-0.28420562,-0.42039645,-0.01662961,0.0,-0.82369256,-1.6372149,TSH_1,2025-03,1.49,0,15.09431174085445,0,0,0,999,0,3,0,33.0,31.9,1679.440602209598
-1.1723679,-0.0009103065,-9.928354e-05,-0.09227719,-0.26841292,-0.27881277,0.05683892,-0.01662961,0.0,-0.73862565,-1.7135447,TSH_1,2025-04,2.43,0,15.09431174085445,0,0,0,999,0,4,0,33.0,31.9,1679.440602209598
-1.2337068,-0.0009103065,-9.928354e-05,-0.082329206,-0.25684565,-0.28214964,0.108660586,-0.05340085,0.0,-0.7138138,-1.7427247,TSH_1,2025-05,2.36,0,15.09431174085445,0,0,0,999,0,5,1,33.0,31.9,1679.440602209598
-1.2321588,-0.0009103065,-9.928354e-05,-0.082363,-0.25693747,-0.28017718,0.15973608,-0.05340085,0.0,-0.71915513,-1.7458774,TSH_1,2025-06,2.47,0,15.09431174085445,0,0,0,999,0,6,1,33.0,31.9,1679.440602209598
-1.2196282,-0.0009103065,-9.928354e-05,-0.08246844,-0.25731,-0.27603424,0.1057546,-0.05121761,0.0,-0.72513276,-1.7547191,TSH_1,2025-07,2.35,0,15.09431174085445,0,0,0,999,0,7,1,33.0,31.9,1679.440602209598
-1.1830083,-0.0009103065,-9.928354e-05,-0.08307893,-0.26513776,-0.26841608,-0.014147133,-0.05121761,0.0,-0.7436669,-1.8201753,TSH_1,2025-08,1.99,0,15.09431174085445,0,0,0,999,0,8,1,33.0,31.9,1679.440602209598
-1.1419815,-0.0009103065,-9.928354e-05,-0.08285626,-0.2750921,-0.26412505,-0.21834348,-0.06002813,0.0,-0.7593598,-1.7983764,TSH_1,2025-09,1.68,0,15.09431174085445,0,0,0,999,0,9,1,33.0,31.9,1679.440602209598
-1.0807228,-0.0009103065,-9.928354e-05,-0.09146085,-0.27977702,-0.25836715,-0.1593987,-0.011894051,0.0,-0.77386206,-1.7864165,TSH_1,2025-10,1.97,0,15.09431174085445,0,0,0,999,0,10,0,33.0,31.9,1679.440602209598
-1.1187673,-0.0009103065,-9.928354e-05,-0.10037766,-0.29296288,-0.265402,-0.41053948,-0.011894051,0.0,-0.8058808,-1.7990019,TSH_1,2025-11,1.38,0,15.09431174085445,0,0,0,999,0,11,0,33.0,31.9,1679.440602209598
-1.1187205,-0.0009103065,-9.928354e-05,-0.10037766,-0.29308856,-0.27799168,-0.6289554,-0.011716876,0.0,-0.8271642,-1.7793741,TSH_1,2025-12,1.09,0,15.09431174085445,0,0,0,999,0,12,0,33.0,31.9,1679.440602209598
-1.1464245,-0.0060480274,-9.928354e-05,-0.09771694,-0.29146594,-0.2961911,-0.8183529,-0.01662961,0.0,-0.8498752,-1.6438451,TSH_1,2026-01,0.96,0,15.09431174085445,0,0,0,999,0,1,0,33.0,31.9,1679.440602209598
-1.1588017,-0.0060480274,-9.928354e-05,-0.09761585,-0.29136485,-0.2908002,-0.7470569,-0.01662961,0.0,-0.84880424,-1.6361889,TSH_1,2026-02,1.04,0,15.09431174085445,0,0,0,999,0,2,0,33.0,31.9,1679.440602209598
-1.1542251,-0.0060480274,-9.928354e-05,-0.09761585,-0.282568,-0.28420562,-0.42039645,-0.01662961,0.0,-0.82369256,-1.6372149,TSH_1,2026-03,1.49,0,15.09431174085445,0,0,0,999,0,3,0,33.0,31.9,1679.440602209598
-1.6221806,-0.002403729,-9.928354e-05,-0.09973931,-0.26511133,-0.46092394,-0.53857666,-0.06054482,0.0,-0.5479777,-0.61521876,TSH_10,2024-12,2.46,0,6.307856807989962,0,0,0,999,0,12,0,33.0,38.1,6336.224999491714
-1.6748213,-0.0075414497,-9.928354e-05,-0.10715505,-0.26476693,-0.49569505,-0.98050255,-0.060780615,0.0,-0.48720506,-0.8049359,TSH_10,2025-01,1.27,0,6.307856807989962,0,0,0,999,0,1,0,33.0,38.1,6336.224999491714
-1.6871984,-0.0075414497,-9.928354e-05,-0.10705396,-0.26466584,-0.49030417,-0.9384448,-0.060780615,0.0,-0.47564635,-0.83770674,TSH_10,2025-02,1.29,0,6.307856807989962,0,0,0,999,0,2,0,33.0,38.1,6336.224999491714
-1.6792449,-0.0075414497,-9.928354e-05,-0.10705396,-0.25586897,-0.48370957,-0.6084074,-0.060780615,0.0,-0.45053476,-0.83873266,TSH_10,2025-03,1.87,0,6.307856807989962,0,0,0,999,0,3,0,33.0,38.1,6336.224999491714
-1.6260827,-0.002403729,-9.928354e-05,-0.10171529,-0.24582066,-0.47987518,-0.05883564,-0.060780615,0.0,-0.48277426,-0.7904672,TSH_10,2025-04,3.51,0,6.307856807989962,0,0,0,999,0,4,0,33.0,38.1,6336.224999491714
