unit_id,is_known_hotspot,infra_age_years,pipe_material,informal_settlement_pct,population_density,baseline_nrw_pct
1,0,31.6,steel,7.1,2965.0,30.2
2,0,21.0,steel,24.3,2659.0,32.7
3,0,28.2,pvc,30.1,940.0,34.4
4,0,26.6,cast_iron,4.6,4654.0,36.0
5,0,29.0,pvc,21.5,2886.0,33.6
6,0,8.1,steel,3.3,3081.0,25.5
7,0,20.4,pvc,25.4,1329.0,31.0
8,0,6.5,steel,3.0,1495.0,27.2
9,1,61.0,asbestos_cement,68.6,8881.0,62.6
10,0,17.2,pvc,4.8,746.0,20.5
11,1,59.4,asbestos_cement,67.3,3327.0,46.5
12,0,8.8,cast_iron,28.0,2106.0,29.4
13,0,26.7,cast_iron,20.8,3196.0,39.3
14,0,11.3,pvc,27.4,3725.0,20.6
15,0,39.2,pvc,27.8,3213.0,30.3
16,0,26.5,pvc,33.1,963.0,33.7
17,0,17.8,steel,8.9,1840.0,33.6
18,0,26.9,cast_iron,20.7,5140.0,42.4
19,0,5.8,cast_iron,3.3,4007.0,25.5
20,0,40.5,steel,21.6,4070.0,38.4
21,0,22.8,pvc,6.0,4186.0,27.0
22,1,64.3,cast_iron,64.7,6818.0,60.2
23,0,8.1,pvc,20.0,820.0,22.5
24,0,23.0,steel,16.3,2516.0,26.4
25,0,23.2,pvc,18.3,3467.0,41.8
26,0,39.7,steel,26.7,2362.0,48.8
27,0,26.2,asbestos_cement,28.0,5145.0,38.8
28,0,22.5,steel,17.2,3154.0,26.7
29,0,14.9,cast_iron,21.0,4727.0,31.7
30,0,17.3,steel,32.6,5186.0,31.8
31,0,24.3,asbestos_cement,4.2,3276.0,34.3
32,0,21.2,pvc,4.1,5503.0,36.9
33,0,5.8,pvc,3.1,3729.0,26.1
34,0,35.6,cast_iron,23.0,5177.0,41.5
35,0,38.2,cast_iron,14.7,2373.0,42.3
36,0,10.2,pvc,27.1,3243.0,26.8
37,0,25.5,pvc,23.5,3423.0,23.8
38,0,9.0,pvc,11.7,1077.0,24.9
39,0,29.9,cast_iron,31.4,2692.0,32.2
40,0,15.4,pvc,26.7,5545.0,21.3
41,0,29.4,cast_iron,9.5,3970.0,43.1
42,0,31.9,cast_iron,12.7,1476.0,44.6
43,0,33.4,pvc,11.0,2364.0,43.5
44,0,9.0,pvc,5.5,1554.0,25.8
45,1,58.2,cast_iron,34.6,6530.0,63.9
46,0,13.5,pvc,32.8,5601.0,26.8
47,0,6.4,pvc,15.3,2965.0,24.2
48,0,25.5,cast_iron,13.4,2191.0,27.3
49,0,18.7,steel,25.5,3792.0,31.3
50,0,35.7,cast_iron,19.4,540.0,38.2
51,0,34.9,asbestos_cement,32.8,2029.0,30.9
52,0,16.7,pvc,27.3,4367.0,28.1
53,0,40.3,cast_iron,16.8,3986.0,39.7
54,0,15.8,pvc,13.2,5900.0,36.9
55,0,24.1,pvc,34.5,3912.0,36.5
56,0,14.5,pvc,25.1,3126.0,27.3
57,0,39.6,cast_iron,33.3,4688.0,41.1
58,0,11.1,pvc,4.1,5468.0,25.8
59,0,6.7,pvc,29.8,4464.0,22.3
60,0,21.1,pvc,22.3,5798.0,25.1
61,0,41.7,pvc,4.3,4801.0,40.1
62,0,38.0,pvc,20.6,5267.0,35.3
63,0,32.7,pvc,24.0,1128.0,30.1
64,0,38.0,asbestos_cement,0.4,4528.0,41.5
65,0,38.1,steel,15.9,2920.0,41.0
66,1,48.5,asbestos_cement,34.1,6022.0,43.3
67,0,16.7,pvc,10.3,4098.0,27.7
68,0,33.6,pvc,16.0,5834.0,41.8
69,0,29.5,steel,15.5,5915.0,40.0
70,0,18.8,steel,10.6,2085.0,34.5
71,0,8.5,asbestos_cement,32.1,4536.0,24.4
72,0,32.6,pvc,27.3,4625.0,32.1
73,0,14.7,cast_iron,3.9,2406.0,21.9
74,1,45.8,asbestos_cement,62.1,8052.0,52.6
75,0,13.9,steel,30.8,725.0,28.9
76,0,9.5,cast_iron,9.9,4775.0,31.2
77,1,58.6,cast_iron,61.2,5005.0,62.8
78,0,10.7,pvc,3.7,5920.0,24.7
79,0,11.6,steel,35.0,3057.0,19.6
80,0,27.2,asbestos_cement,23.3,5879.0,32.0
81,0,37.4,asbestos_cement,22.8,2764.0,39.8
82,0,12.3,steel,3.2,4865.0,25.1
83,0,16.5,cast_iron,31.4,967.0,25.4
84,0,33.8,steel,1.0,3555.0,38.1
85,0,41.0,cast_iron,8.4,4911.0,38.0
86,0,23.5,steel,5.0,5586.0,28.6
87,0,10.3,steel,27.2,5024.0,26.7
88,0,5.5,steel,6.9,703.0,20.7
89,1,44.7,asbestos_cement,39.3,8751.0,51.6
90,0,9.9,cast_iron,23.0,768.0,26.3
91,0,30.1,pvc,1.3,1101.0,29.3
92,0,9.5,asbestos_cement,0.2,4214.0,22.3
93,0,23.7,pvc,1.8,4423.0,39.1
94,0,30.7,steel,21.2,4755.0,29.5
95,0,26.5,cast_iron,28.1,5260.0,22.7
96,0,12.4,steel,8.3,4567.0,16.9
97,0,34.8,pvc,29.7,4905.0,37.5
98,0,31.5,pvc,2.0,769.0,35.9
99,0,32.3,cast_iron,28.0,1790.0,35.6
100,0,9.8,steel,32.5,3920.0,31.0
101,0,9.6,steel,27.0,5220.0,11.4
102,1,46.7,cast_iron,56.1,8018.0,53.3
103,0,19.7,pvc,29.3,3330.0,37.7
104,1,55.3,asbestos_cement,51.3,6336.0,50.0
105,0,23.1,steel,7.1,663.0,29.6
106,0,29.5,pvc,4.4,2707.0,31.0
107,0,40.4,asbestos_cement,17.7,5426.0,35.7
