ward_id,informal_settlement_pct,no_piped_water_pct,total_dw,total_hh
TSH_1,1.51,0.39,7876,7865
TSH_10,58.83,2.14,11818,11812
TSH_100,39.3,15.95,6955,6953
TSH_101,2.83,0.92,10278,10269
TSH_102,22.63,12.26,7604,7596
TSH_103,10.72,0.81,7190,7186
TSH_104,22.23,0.58,9496,9489
TSH_105,28.38,5.99,9239,9230
TSH_106,30.46,0.73,18932,18924
TSH_107,83.63,16.86,11151,11141
TSH_11,23.32,0.18,6268,6266
TSH_12,6.07,3.54,7632,7633
TSH_13,21.02,16.82,6879,6874
TSH_14,20.3,6.61,5310,5307
TSH_15,0.65,0.26,6151,6147
TSH_16,8.45,0.13,7113,7111
TSH_17,32.4,0.32,11405,11401
TSH_18,6.9,0.33,7894,7891
TSH_19,7.28,2.63,8119,8109
TSH_2,1.15,0.75,7160,7154
TSH_20,25.01,5.92,7948,7934
TSH_21,5.3,0.52,8414,8406
TSH_22,8.75,1.69,9746,9736
TSH_23,10.21,0.32,7152,7153
TSH_24,30.21,5.82,10988,10977
TSH_25,31.6,2.53,7105,7105
TSH_26,40.26,0.41,6515,6509
TSH_27,35.1,0.8,6505,6498
TSH_28,16.73,0.14,4992,4989
TSH_29,14.85,1.62,8073,8070
TSH_3,0.59,0.23,8774,8764
TSH_30,7.75,5.12,12342,12333
TSH_31,4.59,1.35,7989,7991
TSH_32,15.65,9.02,8768,8758
TSH_33,22.94,0.87,6586,6587
TSH_34,7.76,0.29,5591,5589
TSH_35,8.02,0.53,6023,6017
TSH_36,18.55,0.29,6885,6884
TSH_37,26.07,2.56,9551,9546
TSH_38,2.52,0.22,4135,4137
TSH_39,42.05,4.64,8146,8140
TSH_4,0.78,0.42,11402,11385
TSH_40,72.58,1.85,19766,19755
TSH_41,0.73,0.39,8818,8807
TSH_42,0.27,0.31,7117,7111
TSH_43,4.45,0.44,8470,8465
TSH_44,0.46,0.47,7689,7681
TSH_45,0.48,0.39,6478,6465
TSH_46,0.35,0.12,8950,8938
TSH_47,0.29,0.35,7967,7953
TSH_48,2.75,1.77,10045,10037
TSH_49,32.05,8.51,9551,9540
TSH_5,0.53,0.4,7306,7298
TSH_50,1.34,0.47,7011,7002
TSH_51,3.95,0.12,5161,5161
TSH_52,1.23,0.34,8638,8626
TSH_53,0.64,0.29,8602,8597
TSH_54,0.51,0.29,6800,6797
TSH_55,15.33,9.02,7379,7374
TSH_56,0.14,0.28,7800,7795
TSH_57,1.38,0.55,8766,8759
TSH_58,0.71,0.43,9909,9905
TSH_59,0.79,0.32,9115,9109
TSH_6,12.03,0.17,8268,8266
TSH_60,0.51,0.52,7061,7052
TSH_61,37.13,11.26,11593,11588
TSH_62,5.81,0.23,5680,5681
TSH_63,8.59,0.22,7181,7175
TSH_64,0.43,0.2,7358,7352
TSH_65,0.91,0.42,9899,9891
TSH_66,0.62,0.35,8204,8195
TSH_67,10.13,0.09,7046,7043
TSH_68,8.38,0.36,6180,6178
TSH_69,0.39,0.46,8624,8619
TSH_7,3.06,0.37,10671,10660
TSH_70,41.3,24.78,14284,14269
TSH_71,94.7,8.07,11951,11933
TSH_72,59.43,8.53,7471,7469
TSH_73,32.44,17.56,9930,9925
TSH_74,12.58,14.18,5803,5795
TSH_75,18.02,1.41,8263,8251
TSH_76,33.09,7.04,6029,6026
TSH_77,16.24,0.92,8746,8743
TSH_78,1.45,0.57,7678,7669
TSH_79,0.47,0.32,8160,8149
TSH_8,18.42,10.91,7471,7467
TSH_80,7.39,1.6,7578,7571
TSH_81,0.16,0.35,11670,11660
TSH_82,0.33,0.19,6406,6399
TSH_83,0.2,0.2,7859,7851
TSH_84,0.18,0.27,8195,8187
TSH_85,0.61,0.32,8979,8959
TSH_86,17.61,0.55,10202,10206
TSH_87,30.51,1.15,6535,6527
TSH_88,39.11,0.85,7308,7305
TSH_89,19.23,2.22,9112,9110
TSH_9,10.05,7.64,9066,9054
TSH_90,26.4,12.49,11956,11947
TSH_91,5.97,3.82,9678,9670
TSH_92,0.15,3.24,12281,12265
TSH_93,64.61,6.59,8268,8259
TSH_94,3.07,0.23,6199,6194
TSH_95,21.65,20.07,7012,7007
TSH_96,6.7,3.59,10937,10931
TSH_97,56.58,0.26,13330,13317
TSH_98,10.45,0.43,8478,8466
TSH_99,28.1,3.27,7439,7429
